mrs,P-HAIT,P-THRIVE
0,0.502734973,0.5
1,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.681900603
0,0.5,0.812561986
0,0.5,0.669123621
0,0.5,0.669123621
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.5
0,0.5,0.669123621
0,0.503425321,0.856891473
0,0.502734973,0.5
0,0.5,0.669123621
1,0.502734973,0.681900603
1,0.5,0.681900603
1,0.500690375,0.803521037
0,0.5,0.594176964
0,0.5,0.747530376
1,0.500690375,0.669123621
0,0.5,0.5
1,0.5,0.669123621
0,0.5,0.669123621
1,0.5,0.669123621
1,0.5,0.747530376
0,0.5,0.681900603
1,0.5,0.669123621
0,0.5,0.747530376
0,0.5,0.594176964
0,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.5
0,0.5,0.669123621
1,0.502734973,0.681900603
1,0.5,0.580046431
0,0.5,0.669123621
0,0.5,0.681900603
1,0.500690375,0.803521037
0,0.5,0.747530376
1,0.500690375,0.669123621
0,0.5,0.669123621
0,0.500690375,0.747530376
1,0.500690375,0.747530376
0,0.5,0.681900603
1,0.5,0.747530376
0,0.502734973,0.580046431
0,0.500690375,0.803521037
0,0.502734973,0.669123621
0,0.5,0.681900603
0,0.5,0.580046431
0,0.5,0.5
1,0.500690375,0.803521037
0,0.5,0.669123621
0,0.5,0.669123621
0,0.5,0.747530376
0,0.500690375,0.736370368
0,0.502734973,0.747530376
0,0.500690375,0.656092261
1,0.5,0.669123621
0,0.5,0.669123621
0,0.500690375,0.736370368
0,0.5,0.594176964
0,0.5,0.681900603
1,0.5,0.669123621
0,0.5,0.669123621
0,0.5,0.681900603
0,0.5,0.747530376
1,0.500690375,0.656092261
0,0.5,0.594176964
0,0.5,0.669123621
1,0.5,0.669123621
1,0.500690375,0.736370368
0,0.5,0.5
1,0.500690375,0.656092261
1,0.500690375,0.736370368
1,0.502734973,0.747530376
0,0.5,0.669123621
0,0.5,0.681900603
0,0.5,0.681900603
0,0.5,0.669123621
1,0.502734973,0.747530376
1,0.500690375,0.803521037
0,0.503425321,0.669123621
1,0.503425321,0.736370368
1,0.5,0.5
0,0.500690375,0.669123621
0,0.5,0.669123621
0,0.5,0.5
0,0.500690375,0.580046431
0,0.5,0.669123621
0,0.502734973,0.747530376
0,0.500690375,0.736370368
1,0.500690375,0.736370368
1,0.5,0.5
0,0.5,0.669123621
1,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.669123621
0,0.5,0.594176964
1,0.5,0.681900603
0,0.5,0.580046431
0,0.502734973,0.669123621
1,0.500690375,0.656092261
0,0.5,0.669123621
0,0.5,0.5
0,0.5,0.5
0,0.5,0.5
1,0.5,0.594176964
0,0.502734973,0.681900603
0,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.747530376
0,0.5,0.669123621
1,0.502734973,0.747530376
1,0.500690375,0.803521037
0,0.500690375,0.656092261
1,0.500690375,0.812561986
0,0.5,0.580046431
0,0.500690375,0.803521037
0,0.5,0.747530376
0,0.5,0.594176964
1,0.500690375,0.669123621
0,0.5,0.681900603
0,0.5,0.594176964
1,0.5,0.747530376
1,0.5,0.669123621
1,0.5,0.669123621
0,0.500690375,0.803521037
1,0.502734973,0.580046431
0,0.5,0.747530376
0,0.503425321,0.803521037
0,0.5,0.747530376
1,0.500690375,0.669123621
1,0.5,0.580046431
1,0.5,0.669123621
0,0.502734973,0.669123621
0,0.5,0.681900603
0,0.5,0.669123621
1,0.5,0.747530376
0,0.5,0.580046431
1,0.5,0.681900603
0,0.500690375,0.736370368
0,0.5,0.747530376
0,0.502734973,0.747530376
0,0.5,0.669123621
0,0.5,0.580046431
0,0.500690375,0.803521037
0,0.5,0.594176964
0,0.5,0.747530376
0,0.5,0.747530376
1,0.5,0.594176964
0,0.5,0.5
1,0.500690375,0.736370368
0,0.500690375,0.747530376
0,0.5,0.747530376
0,0.5,0.580046431
1,0.5,0.594176964
0,0.5,0.5
0,0.5,0.669123621
0,0.5,0.747530376
0,0.5,0.669123621
0,0.502734973,0.681900603
0,0.503425321,0.736370368
0,0.5,0.580046431
0,0.5,0.681900603
0,0.5,0.580046431
1,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.669123621
0,0.500690375,0.803521037
0,0.5,0.747530376
0,0.5,0.669123621
0,0.5,0.669123621
0,0.5,0.681900603
0,0.500690375,0.747530376
0,0.5,0.580046431
1,0.500690375,0.736370368
0,0.5,0.5
0,0.500690375,0.669123621
0,0.5,0.669123621
0,0.5,0.669123621
1,0.500690375,0.736370368
0,0.5,0.669123621
1,0.500690375,0.669123621
0,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.594176964
0,0.5,0.5
1,0.500690375,0.736370368
0,0.5,0.594176964
0,0.5,0.580046431
1,0.500690375,0.747530376
0,0.502734973,0.747530376
0,0.502734973,0.594176964
1,0.500690375,0.803521037
0,0.5,0.669123621
0,0.5,0.594176964
0,0.500690375,0.736370368
0,0.502734973,0.669123621
0,0.500690375,0.747530376
1,0.5,0.747530376
0,0.5,0.681900603
1,0.5,0.594176964
0,0.5,0.747530376
1,0.5,0.580046431
0,0.5,0.5
0,0.5,0.669123621
0,0.503425321,0.803521037
0,0.5,0.747530376
0,0.502734973,0.747530376
0,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.580046431
0,0.500690375,0.669123621
0,0.5,0.681900603
0,0.5,0.594176964
1,0.5,0.681900603
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.747530376
0,0.502734973,0.5
0,0.502734973,0.580046431
0,0.5,0.5
0,0.503425321,0.736370368
0,0.5,0.580046431
0,0.502734973,0.669123621
1,0.500690375,0.736370368
0,0.5,0.594176964
0,0.5,0.669123621
1,0.500690375,0.803521037
1,0.500690375,0.747530376
0,0.502734973,0.669123621
1,0.500690375,0.669123621
0,0.5,0.5
0,0.5,0.5
1,0.502734973,0.594176964
0,0.5,0.5
1,0.500690375,0.736370368
0,0.5,0.669123621
0,0.5,0.5
0,0.502734973,0.594176964
1,0.502734973,0.747530376
0,0.5,0.669123621
0,0.5,0.669123621
1,0.500690375,0.803521037
0,0.5,0.669123621
0,0.5,0.747530376
0,0.5,0.594176964
0,0.5,0.594176964
0,0.5,0.669123621
0,0.500690375,0.669123621
0,0.5,0.747530376
0,0.500690375,0.736370368
0,0.5,0.669123621
1,0.500690375,0.736370368
0,0.5,0.594176964
1,0.500690375,0.747530376
0,0.5,0.594176964
0,0.5,0.669123621
0,0.500690375,0.669123621
0,0.5,0.5
0,0.5,0.594176964
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.580046431
1,0.5,0.594176964
0,0.500690375,0.747530376
1,0.5,0.747530376
0,0.5,0.747530376
0,0.5,0.747530376
0,0.5,0.669123621
1,0.5,0.580046431
0,0.5,0.580046431
0,0.5,0.594176964
0,0.5,0.5
0,0.5,0.594176964
0,0.500690375,0.669123621
0,0.5,0.747530376
0,0.5,0.681900603
1,0.502734973,0.747530376
0,0.5,0.669123621
0,0.5,0.594176964
1,0.5,0.747530376
0,0.5,0.580046431
1,0.503425321,0.736370368
0,0.500690375,0.669123621
1,0.500690375,0.580046431
0,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.580046431
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.681900603
0,0.500690375,0.580046431
0,0.5,0.681900603
1,0.5,0.669123621
0,0.5,0.681900603
1,0.500690375,0.669123621
0,0.5,0.669123621
1,0.5,0.669123621
0,0.5,0.669123621
0,0.500690375,0.580046431
1,0.5,0.594176964
0,0.5,0.580046431
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.594176964
0,0.5,0.580046431
1,0.5,0.747530376
0,0.502734973,0.669123621
1,0.503425321,0.747530376
1,0.502734973,0.580046431
1,0.5,0.669123621
0,0.5,0.669123621
0,0.500690375,0.656092261
0,0.5,0.594176964
0,0.5,0.580046431
0,0.500690375,0.803521037
0,0.5,0.594176964
1,0.500690375,0.736370368
0,0.5,0.594176964
0,0.502734973,0.594176964
0,0.5,0.669123621
1,0.500690375,0.580046431
0,0.5,0.669123621
0,0.5,0.594176964
0,0.5,0.669123621
1,0.502734973,0.747530376
0,0.5,0.580046431
0,0.500690375,0.669123621
0,0.5,0.669123621
0,0.5,0.5
0,0.5,0.747530376
0,0.5,0.580046431
1,0.5,0.747530376
1,0.5,0.594176964
0,0.5,0.747530376
0,0.5,0.594176964
0,0.5,0.747530376
0,0.500690375,0.747530376
0,0.502734973,0.681900603
0,0.502734973,0.747530376
0,0.5,0.747530376
0,0.502734973,0.594176964
0,0.5,0.747530376
0,0.5,0.580046431
0,0.5,0.669123621
1,0.5,0.5
0,0.5,0.580046431
0,0.5,0.747530376
0,0.5,0.580046431
1,0.500690375,0.736370368
0,0.5,0.812561986
0,0.5,0.681900603
0,0.500690375,0.580046431
1,0.5,0.669123621
0,0.5,0.669123621
0,0.500690375,0.656092261
1,0.500690375,0.747530376
1,0.5,0.669123621
1,0.500690375,0.656092261
0,0.5,0.669123621
0,0.5,0.580046431
0,0.5,0.669123621
0,0.502734973,0.669123621
0,0.5,0.669123621
0,0.5,0.5
1,0.5,0.747530376
0,0.5,0.594176964
0,0.5,0.669123621
0,0.5,0.681900603
0,0.5,0.747530376
0,0.502734973,0.812561986
0,0.5,0.594176964
0,0.5,0.747530376
0,0.502734973,0.747530376
0,0.5,0.681900603
0,0.502734973,0.594176964
0,0.5,0.669123621
